Time,Contract,Funding Interval,Funding Rate,Spot Closing Price,Futures Closing Price
2024-06-11 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0104%,66244.2,
2024-06-11 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0033%,67566.3,
2024-06-10 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0181%,69537.2,
2024-06-10 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0088%,70055.4,
2024-06-10 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0077%,69293.8,
2024-06-09 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0203%,69640.3,
2024-06-09 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0109%,69507.7,
2024-06-09 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0133%,69298.6,
2024-06-08 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0226%,69308.5,
2024-06-08 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0274%,69423.9,
2024-06-08 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0363%,69569.7,
2024-06-07 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0046%,69342.0,
2024-06-07 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0236%,71107.4,
2024-06-07 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0014%,71109.4,
2024-06-06 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0291%,70798.4,
2024-06-06 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0006%,71297.5,
2024-06-06 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0055%,71020.7,
2024-06-05 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0054%,71105.2,
2024-06-05 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0174%,71559.5,
2024-06-05 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0136%,71200.6,
2024-06-04 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0239%,70537.5,
2024-06-04 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0283%,70444.7,
2024-06-04 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0193%,69010.9,
2024-06-03 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0101%,68808.7,
2024-06-03 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0208%,69594.4,
2024-06-03 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0186%,68904.4,
2024-06-02 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0135%,67768.4,
2024-06-02 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0179%,68146.3,
2024-06-02 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0282%,67717.0,
2024-06-01 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0327%,67761.7,
2024-06-01 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0236%,67680.9,
2024-06-01 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0403%,67631.9,
2024-05-31 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0201%,67536.4,
2024-05-31 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0170%,67206.7,
2024-05-31 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0054%,68175.6,
2024-05-30 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0083%,68353.0,
2024-05-30 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0124%,68531.5,
2024-05-30 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0295%,67587.2,
2024-05-29 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0251%,67654.0,
2024-05-29 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0137%,67376.6,
2024-05-29 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0217%,67946.2,
2024-05-28 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0274%,68405.1,
2024-05-28 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0058%,68371.3,
2024-05-28 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0260%,67691.9,
2024-05-27 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0273%,69429.5,
2024-05-27 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0150%,70386.7,
2024-05-27 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0159%,68650.6,
2024-05-26 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0121%,68503.5,
2024-05-26 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0133%,68843.3,
2024-05-26 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0107%,69347.6,
2024-05-25 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0122%,69294.6,
2024-05-25 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0038%,68933.4,
2024-05-25 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0079%,68745.4,
2024-05-24 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0093%,68566.0,
2024-05-24 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0185%,68316.6,
2024-05-24 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0249%,67161.3,
2024-05-23 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0127%,67971.1,
2024-05-23 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0501%,68077.5,
2024-05-23 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0143%,69738.2,
2024-05-22 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0329%,69168.0,
2024-05-22 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0186%,70451.2,
2024-05-22 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0352%,69702.6,
2024-05-21 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0153%,70144.9,
2024-05-21 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0507%,69820.1,
2024-05-21 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0036%,70876.1,
2024-05-20 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0039%,71401.2,
2024-05-20 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0009%,67418.8,
2024-05-20 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0066%,66820.1,
2024-05-19 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0018%,66269.4,
2024-05-19 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0003%,66883.1,
2024-05-19 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0053%,67331.8,
2024-05-18 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0056%,66914.0,
2024-05-18 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0013%,66808.0,
2024-05-18 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0065%,66886.1,
2024-05-17 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0005%,67019.1,
2024-05-17 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0016%,67193.7,
2024-05-17 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0120%,66385.3,
2024-05-16 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0031%,65237.7,
2024-05-16 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0067%,65828.9,
2024-05-16 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0083%,66134.9,
2024-05-15 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0048%,66210.8,
2024-05-15 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0043%,64725.5,
2024-05-15 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0008%,62194.5,
2024-05-14 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0065%,61577.2,
2024-05-14 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0013%,61778.8,
2024-05-14 04:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0023%,62029.9,
2024-05-13 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0031%,62938.2,
2024-05-13 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0015%,63003.2,
2024-05-13 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0003%,62336.3,
2024-05-12 20:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0106%,61484.1,
2024-05-12 12:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0003%,61410.1,
2024-05-12 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0049%,60823.2,
2024-05-11 20:00:00,BTC Perpetual/USDT,Every 8 Hours,-0.0025%,60827.1,
2024-05-11 12:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0115%,61174.5,
2024-05-11 04:00:00,BTC Perpetual/USDT,Every 8 Hours,0.0085%,61010.7,
