coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
ETH,101.49726,2024-03-31 00:00:00,2024-04-07 00:00:00,3625.38,3385.19,3630.17,3386.99,0.00026461,2047.4194714745654,1010.94843663552,1339.9478422390684,0.003636692760311562,168.0,positive,Short Futures / Long Spot
ETH,105.47534,2024-04-09 00:00:00,2024-04-13 00:00:00,3641.81,3257.6,3644.11,3258.55,0.00024848,1146.0804291018474,1043.1996312564002,245.27250684544606,0.0006381260262725294,96.0,positive,Short Futures / Long Spot
ETH,103.32321,2024-05-30 00:00:00,2024-06-06 00:00:00,3720.32,3852.1,3722.15,3854.43,0.00025357,2047.9008509559046,1087.3924735106402,908.8467724452648,0.002363191458028291,168.0,positive,Short Futures / Long Spot
ETH,120.99826,2024-11-10 16:00:00,2024-11-18 00:00:00,3183.21,3130.55,3185.19,3133.35,0.00026708,2264.53228650553,1073.629660806,1091.6840524995644,0.002832582042013282,176.0,positive,Short Futures / Long Spot
ETH,118.73223,2024-11-12 16:00:00,2024-11-19 16:00:00,3243.8,3107.44,3245.98,3109.34,0.00046001,3723.0685429291907,1065.63031297056,2690.6832543586015,0.0069814898600113855,168.0,positive,Short Futures / Long Spot
ETH,118.09844,2024-11-12 08:00:00,2024-11-23 00:00:00,3261.65,3341.34,3263.4,3344.31,0.0005762,7106.204517411686,1086.35778875312,5875.76663185859,0.015245794741680517,256.0,positive,Short Futures / Long Spot
ETH,122.81238,2024-11-18 08:00:00,2024-11-25 08:00:00,3143.41,3518.41,3146.14,3521.26,0.00031651,2568.1886526111884,1118.06278379064,1435.3883832205133,0.003714918026343301,168.0,positive,Short Futures / Long Spot
ETH,123.82466,2024-11-19 00:00:00,2024-11-26 00:00:00,3118.08,3394.8,3120.42,3396.98,0.00040458,3282.7960467441717,1108.69430652704,2193.913685817176,0.00567805167112131,168.0,positive,Short Futures / Long Spot
ETH,119.5266,2024-11-24 08:00:00,2024-11-28 08:00:00,3294.39,3541.78,3297.13,3543.41,0.00023721,1121.79855548477,1126.3598713128001,128.11321017203704,0.00032508226475770125,96.0,positive,Short Futures / Long Spot
ETH,115.52164,2024-11-22 00:00:00,2024-11-29 00:00:00,3362.66,3544.49,3365.66,3547.59,0.0003418,2790.7757470572906,1104.7787278028802,1674.444855254366,0.0043066270354104735,168.0,positive,Short Futures / Long Spot
