coin,trade_size,entry_time,exit_time,entry_spot,exit_spot,entry_futures,exit_futures,funding_rate,funding_profit,fees,total_pnl,pnl_pct,hours_held,direction,position_type
SOL,2294.14197,2024-03-08 16:00:00,2024-03-19 00:00:00,144.79,186.14,144.879,186.236,0.00053032,5464.18543927404,1006.1390908125361,4441.987354671492,0.013364465310224357,248.0,positive,Short Futures / Long Spot
SOL,2312.11602,2024-03-11 08:00:00,2024-03-21 16:00:00,147.06,179.46,147.2,179.535,0.00066664,7033.4838643674,1012.1241635229601,6171.647242144441,0.018133584565217395,248.0,positive,Short Futures / Long Spot
SOL,2313.18807,2024-03-11 16:00:00,2024-03-22 00:00:00,148.83,179.08,149.062,179.209,0.00081096,8668.401429845528,1020.1788575855041,7886.480943470042,0.02287206467859017,248.0,positive,Short Futures / Long Spot
SOL,2315.82849,2024-03-13 00:00:00,2024-03-23 08:00:00,150.74,175.16,150.911,175.262,0.00064251,6960.955775682221,1022.8773594167039,6097.870582075487,0.017448211362392316,248.0,positive,Short Futures / Long Spot
SOL,2153.20502,2024-03-13 16:00:00,2024-03-24 00:00:00,163.9,173.54,164.055,173.761,0.00064562,7069.904121506687,1005.135051540176,5922.657538646504,0.016766475036420692,248.0,positive,Short Futures / Long Spot
SOL,1808.18564,2024-03-17 16:00:00,2024-03-24 16:00:00,201.86,183.88,201.962,184.019,0.00030858,2366.4631609642865,996.193117210528,1303.3671750736946,0.003569062066923305,168.0,positive,Short Futures / Long Spot
SOL,1815.32715,2024-03-18 00:00:00,2024-03-25 00:00:00,203.22,185.76,203.337,185.889,0.00033129,2568.023161384672,1007.78104571508,1538.4581898695442,0.0041678721006505135,168.0,positive,Short Futures / Long Spot
SOL,2035.76027,2024-03-15 00:00:00,2024-03-25 16:00:00,176.07,188.99,176.253,189.181,0.00063046,7238.86818048879,1024.974352388896,6197.607745939878,0.01727272797716914,256.0,positive,Short Futures / Long Spot
SOL,1810.22596,2024-03-18 08:00:00,2024-03-25 16:00:00,203.81,188.99,203.91,189.181,0.00028956,2351.432747374093,1011.852591686208,1174.8495933278691,0.0031828117855916393,176.0,positive,Short Futures / Long Spot
SOL,2036.89349,2024-03-21 08:00:00,2024-03-28 08:00:00,185.32,187.36,185.431,187.514,0.00030752,2439.1770283182395,1060.511039840688,1291.0795684075963,0.003418238393364766,168.0,positive,Short Futures / Long Spot
SOL,2186.4428,2024-03-24 16:00:00,2024-04-01 00:00:00,183.88,197.96,184.019,198.118,0.00025686,2273.630808770784,1150.62514384832,1081.4632517225177,0.0026878868349465247,176.0,positive,Short Futures / Long Spot
SOL,2113.73494,2024-03-26 00:00:00,2024-04-02 16:00:00,193.99,181.53,194.143,181.679,0.00039207,3700.5281422034377,1127.303882152608,2581.679199810811,0.006291149607402746,184.0,positive,Short Futures / Long Spot
SOL,2152.76667,2024-03-26 16:00:00,2024-04-02 16:00:00,190.46,181.53,190.623,181.679,0.00025173,2169.3345422420857,1132.9218766075442,1066.5513990145032,0.002599019444610472,168.0,positive,Short Futures / Long Spot
SOL,2194.93286,2024-03-27 00:00:00,2024-04-03 00:00:00,186.79,189.54,186.961,189.65,0.00032068,2763.5252196964725,1152.998231358,1744.4178927984879,0.00425087436994885,168.0,positive,Short Futures / Long Spot
SOL,2200.97208,2024-03-27 16:00:00,2024-04-03 16:00:00,186.33,185.05,186.448,185.173,0.00025221,2173.471047606637,1146.2627377086721,1016.203449497975,0.0024763293340770856,168.0,positive,Short Futures / Long Spot
SOL,2188.68152,2024-03-28 00:00:00,2024-04-04 00:00:00,187.33,184.96,187.495,185.058,0.00026487,2282.571171984159,1144.037838065728,1285.174995758447,0.003131771053361462,168.0,positive,Short Futures / Long Spot
SOL,2194.65647,2024-03-28 08:00:00,2024-04-04 08:00:00,187.36,186.99,187.514,187.175,0.00039989,3455.8914002921133,1151.0095322562,2236.8475174659006,0.005435457846667419,168.0,positive,Short Futures / Long Spot
SOL,2167.62959,2024-03-28 16:00:00,2024-04-04 16:00:00,189.63,184.0,189.852,184.123,0.00036742,3175.282245309641,1141.383568703056,2248.4940060166255,0.0054637583941176205,168.0,positive,Short Futures / Long Spot
SOL,2238.38224,2024-03-29 00:00:00,2024-04-05 00:00:00,183.63,175.04,183.851,175.188,0.00045018,3890.5028637128876,1135.778427751296,2918.126339481609,0.007090940526730929,168.0,positive,Short Futures / Long Spot
SOL,2223.53056,2024-03-29 08:00:00,2024-04-05 08:00:00,184.91,175.89,185.079,175.937,0.00035449,3063.5398237116324,1135.267108606976,2199.5434434246226,0.005344810318350462,168.0,positive,Short Futures / Long Spot
SOL,2082.10324,2024-04-01 00:00:00,2024-04-11 08:00:00,197.96,173.39,198.118,173.548,0.00083459,10672.374725276035,1113.422197257216,9558.952528018763,0.023173098609010654,248.0,positive,Short Futures / Long Spot
SOL,2358.06772,2024-04-08 08:00:00,2024-04-15 16:00:00,181.46,138.51,181.534,138.442,0.00025466,2398.267741754904,1116.9544259761922,1616.1589320186297,0.003775459504445256,176.0,positive,Short Futures / Long Spot
SOL,2516.1484,2024-04-11 08:00:00,2024-04-15 16:00:00,173.39,138.51,173.548,138.442,0.00024101,1368.1517804931136,1151.22243558624,785.5788833068673,0.001799011485237499,104.0,positive,Short Futures / Long Spot
SOL,2475.80676,2024-04-10 00:00:00,2024-04-17 00:00:00,172.76,139.46,172.901,139.345,0.00036513,3282.321075879863,1131.43378609296,2784.6938203469826,0.006505238169415053,168.0,positive,Short Futures / Long Spot
SOL,2451.53262,2024-04-11 00:00:00,2024-04-18 00:00:00,174.46,129.43,174.613,129.362,0.00027306,2454.661612527326,1109.0968920011521,1887.3534295461857,0.004408988685722167,168.0,positive,Short Futures / Long Spot
SOL,2531.47894,2024-04-11 16:00:00,2024-04-18 16:00:00,172.37,142.07,172.497,141.957,0.00027676,2537.923235108094,1160.190974484064,1985.2872062240667,0.004546398280086115,168.0,positive,Short Futures / Long Spot
SOL,2518.29597,2024-04-12 00:00:00,2024-04-19 08:00:00,173.25,146.19,173.4,146.115,0.00026578,2553.294099048098,1166.9582061302401,1952.9524861678462,0.004472350311418658,176.0,positive,Short Futures / Long Spot
SOL,2851.05001,2024-04-12 16:00:00,2024-04-19 16:00:00,153.16,142.5,153.162,142.444,0.00025596,2347.1846713734185,1198.225613162752,1314.3199587907282,0.0030098526783407216,168.0,positive,Short Futures / Long Spot
SOL,2559.86366,2024-06-05 08:00:00,2024-06-09 08:00:00,174.74,161.63,174.918,161.591,0.00023899,1284.1398205100943,1225.541894843248,614.0883398868073,0.0013714485292536205,96.0,positive,Short Futures / Long Spot
